"name","email","website","title","description","category","tags","companySize","inferredIntent","contactChannel","emailPrompt","ogSiteName"
"Emenite Limited","business.emenite@etexgroup.com","https://www.emenitelimited.com","Home - Emenite","A national cement & building-materials manufacturer with a strong Enugu presence (Emene Industrial Layout).","website","manufacturing,construction,materials","50-249","optimization","Email","Subject: AI to optimize Emenite's production line\nBody: Hi [Name], Emenite’s presence in Enugu is impressive—your commitment to building materials is vital to the region. AI-driven quality control and predictive maintenance could reduce downtime and waste. Would you be open to a short call or WhatsApp chat (09150610759)? — Abuashia Moses E",""
"Mezue Associates","info@mezueassociates.com","https://www.mezueassociates.com","Managing Partner","A surveying & engineering firm based on Ogui Road delivering technical solutions.","Engineering","engineering,surveying,tech","10-49","efficiency","Email","Subject: AI insights for smoother operations at Mezue Associates\nBody: Hi [Name], Mezue’s technical surveying services are critical for infrastructure. AI-powered planning tools and data automation could increase efficiency and reduce errors. Would you be open to a quick chat or call? — Abuashia Moses E",""
"Academy4Wealth","info@academy4wealth.com","","Founder","A training & development institute on Ogui Road focused on entrepreneurial and ICT skills.","EdTech","training,ICT,skills","50-200","growth","Phone","Subject: Scaling Academy4Wealth’s impact using AI\nBody: Hi Chuks, Academy4Wealth’s ICT training in Enugu makes real change. AI-supported learning paths and performance analytics could improve student outcomes. Could we explore this over a brief call or WhatsApp chat?",""
"Nicon Insurance Enugu","","https://niconinsurance.com.ng","Nicon Insurance Limited","A major insurer with Enugu branch on Ogui Road serving individuals and SMEs.","Insurance","insurance,financial,SME","50-200","optimization","Phone","Subject: AI for smarter underwriting at Nicon Enugu\nBody: Hi [Name], Nicon’s Enugu operations are vital to local financial stability. AI-driven risk profiling and automated approvals can speed up service and reduce loss. Would you like to discuss over call or WhatsApp?",""
"Cornerstone Insurance Plc","ecare@cornerstone.com.ng","https://cornerstone.com.ng","Cornerstone Insurance Plc:Buy your Motor insurance,Travel insurance and more online","Cornerstone Insurance is a leading insurance company in Nigeria that offers  Motor Vehicle, Travel Insurance, Aviation, Marine, Engineering All Risks, Asset Protection, Liability to Third Party, Oil & Gas, Group Life, Credit Life, Mortgage Protection, Term Assurance, Wealth Creation Products and Takaful (Islamic Insurance)","Insurance","insurance,broker,finance","50-200","efficiency","Email","Subject: Enhancing Cornerstone's customer experience with AI\nBody: Hi [Name], Cornerstone’s services at Ogui Road are well-regarded. AI chatbots and claims automation could boost responsiveness and satisfaction. Could we discuss by email or chat?",""
"Dezern Nig Ltd","","https://dezernevents.com","Owner","A marketing & event management agency located at 87 Ogui Road.","Marketing","marketing,events,agency","10-49","growth","Email","Subject: AI-powered marketing for Dezern Nig\nBody: Hi [Name], Dezern’s events and marketing in Enugu stand out. AI-based campaign optimization and audience targeting could deliver even better ROI. Open to a quick call or WhatsApp chat?",""
"Strategic Intelligent Systems Ltd","strategicintelsystems@gmail.com","","MD","A technology consultancy in Thinkers Corner specializing in industrial systems.","Tech Services","consulting,industrial,tech","10-49","growth","Email","Subject: AI consulting to scale SIS Enugu\nBody: Hi Mr. Emenike, SIS’s industrial tech consulting in Thinkers Corner is highly impressive. AI system design and analytics can help you serve larger enterprises efficiently. Would you be open to a quick chat or call?",""
"Mater Purisima Ltd","chocolate@materpurisima.com","","MD","Manufacturer of hygiene products (snacks & diapers) on Ogui Road Industrial Area.","Manufacturing","hygiene,manufacturing,production","50-249","optimization","Email","Subject: AI to streamline Mater Purisima’s production\nBody: Hi Mr. Ude, Mater Purisima’s manufacturing on Ogui Road is essential for hygiene access. AI-driven production scheduling and QC can reduce waste and improve output. Want to discuss this over call or WhatsApp?",""
"Hapel Roadstone Nigeria Ltd","hapelroadstone@yahoo.com","","MD","Quarry & civil engineering company in Emene Industrial Layout.","Construction","quarry,construction,engineering","10-49","efficiency","Email","Subject: AI tech for Hapel’s civil operations\nBody: Hi [Name], Hapel Roadstone’s civil projects in Emene are impactful. AI-powered site monitoring and resource planning could improve efficiency. Are you up for a 10-min WhatsApp chat or call?",""
"Cornerstone Insurance Enugu","","https://www.facebook.com/CornerstoneInsurancePLC","Facebook","Insurance provider with a strong social media presence on Ogui Road.","Insurance","insurance,finance,customer-service","50-200","growth","Email","Subject: AI-powered engagement for Cornerstone Insurance\nBody: Hi [Name], Cornerstone’s Enugu branch connects actively online, and I see room for deeper personalization. AI chatbots and social media automation can enhance engagement. Would love to discuss via call or WhatsApp.",""
"Kregstores","support@kregstores.com.ng","https://kregstores.com.ng","Owner","A trendy fashion & accessories retail store serving Independence Layout.","Retail","fashion,retail,accessories","1-10","optimization","Email","Subject: Boosting Kregstores’ customer experience with AI\nBody: Hi [Name], I noticed Kregstores offers a curated fashion experience in Independence Layout—very impressive! AI-powered personalization and inventory forecasting could help increase sales and reduce stock issues. Would you be open to a brief 10‑min email exchange or WhatsApp chat (09150610759)? — Abuashia Moses E",""
"Pierlex","hello@pierlex.com","+2348136801340","Founder & Lead Designer","UI/UX & full-stack software studio in Independence Layout.","Tech Services","ui/ux,software,design","1-10","growth","Phone","Subject: Can AI supercharge Pierlex’s design & dev workflows?\nBody: Hi Erica, Pierlex’s passion for scalable apps & design shines through your work in Independence Layout. I build AI accelerators that speed up development while maintaining high UX standards. Could we schedule a 10‑min phone call or WhatsApp chat (09150610759) to explore this?",""
"Shoppers Gate Stores","support@shoppersgatestores.com","+2349128964213","Manager","General retail store on Nike Lake Road, Trans-Ekulu.","Retail","retail,consumer,store","1-10","growth","Phone","Subject: How AI can drive more footfall to Shoppers Gate\nBody: Hi [Name], Shoppers Gate’s location on Nike Lake Road is strategic—love the convenient retail offering! AI-driven local marketing and recommendation systems could boost in-store traffic and customer loyalty. Are you open to a quick call or WhatsApp chat (09150610759) to dig into this?",""
"Eweb Technologies","info@ewebtechnology.com","http://www.ewebnigeria.com","Manager","Website design & development firm in New Haven.","Tech Services","web-dev,design,development","1-10","efficiency","Email","Subject: Streamlining Eweb Technologies’s dev process with AI\nBody: Hi [Name], Eweb’s focus on quality web development in New Haven is commendable. I use AI tools that automate code generation and QA to boost delivery speed while ensuring quality. Would you be open to a 10‑min chat or email thread to explore this (WhatsApp: 09150610759)?",""
"ECweb Technology","info@ecwebtechnology.com","+2347061794563","Director","ICT firm offering customer support services (Abuja-based, open to Enugu expansion).","Tech Services","support,ict,customer-service","10-49","optimization","Phone","Subject: Enhancing ECweb’s customer support with AI\nBody: Hi [Name], your commitment to support at ECweb is clear—I believe AI chatbots and ticket automation could elevate efficiency. Would you be open to a short call or WhatsApp chat to explore it? — Abuashia Moses E | 09150610759",""
Body: I've noticed Cregital Media's impressive work in web development. We can significantly enhance your client's online visibility and lead generation through targeted digital marketing strategies tailored for the Enugu market.  Would you be open to a quick 15-minute call to discuss potential collaborations?",""
"Branddrive Media","info@branddrive.com.ng","https://branddrive.com.ng/","Index of /","Branddrive Media is a creative agency specializing in branding, advertising, and digital marketing solutions for businesses looking to make a strong impact.","Branding & Advertising","branding, advertising, digital marketing, content creation, media buying","1-10","growth","Subject: Elevate Your Brand Presence in Enugu
Body: I've followed Branddrive Media's creative campaigns and their impressive client portfolio.  I believe a collaborative digital marketing strategy could amplify your client's brand stories and drive significant engagement. Are you available next week for a brief consultation to explore these opportunities?",""
"Chukwudi Iheme & Associates","N/A (use contact form on website)","http://www.chukwudi-iheme.com/","Managing Consultant","Chukwudi Iheme & Associates is a consulting firm providing marketing, management, and financial advisory services to businesses in various sectors.","Management Consulting","marketing consulting, management consulting, financial advisory, business strategy, training","1-10","growth","Subject: Accelerating Client Growth Through Enhanced Marketing Strategies
Body: I admire Chukwudi Iheme & Associates' comprehensive consulting services and ability to assist businesses in achieving their business objective.  I can provide additional insights through cutting edge marketing strategies, tailored marketing automation and advertising that can take your business to the next level. Would you be interested in discussing potential collaboration to enhance your services and grow your client base?",""
"Digiverse Global Solutions","info@digiverseglobalsolutions.com","https://digiverseglobalsolutions.com/","CEO","Digiverse Global Solutions is a digital marketing agency focused on delivering results-driven solutions in web development, SEO, and social media marketing.","Digital Marketing","digital marketing, web development, SEO, social media marketing, content marketing","1-10","growth","Subject: Unlock Higher ROI with Strategic Digital Marketing
Body: I've been impressed by Digiverse Global Solutions' data-driven approach to digital marketing. My company specializes in creating custom marketing funnels and advertising strategies that enhance Digiverse's existing services.  Would you be open to a quick conversation to explore how we can collaborate?",""
"Brandspire Technologies","info@brandspire.com.ng","https://www.brandspire.com.ng/","CEO","Brandspire Technologies provides digital marketing and branding solutions aimed at enhancing brand visibility and engagement.","Branding & Digital Marketing","branding, digital marketing, social media, web design, logo design","1-10","growth","Subject: Boosting Brand Visibility & Engagement in Enugu
Body: I’ve noticed Brandspire Technologies' focus on helping brands engage their target audience. I specialize in crafting highly effective advertising to drive real results. Would you be open to exploring strategies to accelerate growth for your clients?",""
"Crayons Digital","info@crayonsdigital.com.ng","https://crayonsdigital.com.ng/","Creative Director","Crayons Digital is a digital marketing agency that focuses on creating innovative and engaging content for their clients to drive results.","Digital Marketing","Digital Marketing, Content Marketing, Social Media Marketing, Branding","1-10","growth","Subject: Accelerating Your Client's Growth through strategic content and Digital Marketing.
Body:  I'm reaching out to you as I'm impressed with the innovative marketing approach and engaging content Crayons Digital create.  My team and I specialise in helping digital marketing agencies scale client results, would you be open to a discussion?",""
"SoftAlliance Limited","info@softalliance.com","https://softalliance.com/","Soft Alliance","World Leader in Systems Integration","IT Solutions & Digital Marketing","digital marketing, IT solutions, web development, software development, consulting","50-249","growth","Subject: Boosting Growth Through Strategic Marketing Partnerships
Body: I am writing to propose a potential partnership that could enhance SoftAlliance’s marketing strategies and drive significant growth. I am impressed with the services you provide and how a combined approach could lead to remarkable results.",""
